id,source,scope,category,vendor,model,body_width_m,face_width_m,height_m,depth_m,u_height,mass_kg,asset_format,asset_source,asset_location,price_usd,reference,note,quality_flags
supermicro-sys1019d,real_equipment_oic_tb,include,server,Supermicro,SYS-1019D-16C-FHN13TP,0.438,0.4826,0.043,0.381,1,11.34,,,,,notion-file:415c4bd0;notion:39d01c44dafb8012bfc8cf18e17da047,유사 모델 추정,
dell-r770,real_equipment_oic_tb,include,server,Dell,PowerEdge R770,,0.482,0.0868,0.802,2,28.53,,,,,notion-file:3c906f49;notion:39d01c44dafb801397faffb2023f7030,,body_width_pending_field_measure
secui-bluemax-nfg800,real_equipment_oic_tb,include,security_gateway,SECUI,BLUEMAX NFG 800 ED,0.438,0.4826,0.044,0.432,1,,,,,,notion-file:68ae74df;notion:39d01c44dafb8020aaa1e316f9b311e2,유사 모델 추정 (NGF 510 데이터시트 기준 1U 438x432x44mm),dims_from_similar_model_ngf510;mass_missing;field_measure_pending
hpe-dl360-gen10,real_equipment_oic_tb,include,server,HPE,ProLiant DL360 Gen10,0.4346,0.4826,0.0429,0.707,1,16.78,,,,,notion-file:331adc9f;notion:39d01c44dafb8027b1fad49a080201b7,,
dell-r6615,real_equipment_oic_tb,include,server,Dell,PowerEdge R6615,,0.482,0.0428,0.772,1,20.4,,,,,notion-file:100986ad;notion:39d01c44dafb803dab38cb207142e6da,유사 모델 추정,body_width_pending_field_measure
hpe-lcd8500-console,real_equipment_oic_tb,include,rack_console,HPE,LCD8500 1U INTL,0.4361,0.4826,0.0423,0.433,1,5.2,,,,,notion-file:71a27b4a;notion:39d01c44dafb80499469e61eb81bdbb8,슬라이드+접이식 LCD 복합 관절,
wins-sniper-one-2300,real_equipment_oic_tb,include,ips,WiNS,Sniper ONE 2300,,,,,,,,,,,notion-file:73232acc;notion:39d01c44dafb804b91b6c4807c56a666,물리 치수 비공개 - OIC TB 현장 실측 필요,dims_missing;no_public_spec;field_measure_required
dell-r760,real_equipment_oic_tb,include,server,Dell,PowerEdge R760,,0.482,0.0868,0.772,2,36.1,,,,,notion-file:ab061417;notion:39d01c44dafb805cab19fec649881642,,body_width_pending_field_measure
hpe-dl380-gen10-8sff,real_equipment_oic_tb,include,server,HPE,ProLiant DL380 Gen10 8SFF,0.4454,0.4826,0.0873,0.6794,2,19.5,,,,,notion-file:b4dbaec4;notion:39d01c44dafb807e98e3e14b1c069b86,,
hpe-dl380-gen10plus-a,real_equipment_oic_tb,include,server,HPE,ProLiant DL380 Gen10 Plus (config A),0.4454,0.4826,0.0873,0.749,2,33.99,,,,,notion-file:0c46c49c;notion:39d01c44dafb8097a00bcdfeb1db9a2e,유사모델추정,dup_model_diff_depth
arista-7010t-48,real_equipment_oic_tb,include,network_switch,Arista,7010T-48,0.445,0.4826,0.044,0.254,1,4.6,urdf,articraft,data/records,,articraft:rec_one-omission-to-restore-from-the-reference-close_20260804_062927_304835_2bb37860;notion-file:50cc64ca;notion:39d01c44dafb80a6ae01c421370796bc,2026-08-04 신 SOP 재생성(v3: 그룹 베젤 프레임·미러 잭·물성 4.6kg 분배·구 gridfix 폐기). 레퍼런스 ref_images/7010t48_v2.jpg,
dell-r730,real_equipment_oic_tb,include,server,Dell,PowerEdge R730,0.444,0.4826,0.0873,0.684,2,31.5,,,,,notion-file:8776beb3;notion:39d01c44dafb80a79f4dd6649d10528c,로드쇼 시연 장비(1층 실증센터),physical_access
hpe-dl380-gen10plus-b,real_equipment_oic_tb,include,server,HPE,ProLiant DL380 Gen10 Plus (config B),0.4454,0.4826,0.0873,0.71,2,28.77,,,,,notion-file:5a61084d;notion:39d01c44dafb80aab4dbca747e24b087,,dup_model_diff_depth
alcatel-os6450-48x,real_equipment_oic_tb,include,network_switch,Alcatel-Lucent,OS6450-48X,0.44,0.4826,0.044,0.391,1,6.6,,,,,notion-file:2b31fed6;notion:39d01c44dafb80b09b93d0a2e3099de8,,
cisco-n9k-93180yc-ex,real_equipment_oic_tb,include,network_switch,Cisco,Nexus N9K-C93180YC-EX,0.439,0.4826,0.044,0.571,1,7.8,,,,,notion-file:1652d3c4;notion:39d01c44dafb80c8a6b8f595670b334d,로드쇼 시연 장비(1층 실증센터),physical_access;mass_typo_kb_fixed
csni-appinsight-2000r,real_equipment_oic_tb,include,web_firewall,MonitorApp,APPLICATION INSIGHT WAF (AIWAF-2000_Y20),0.438,0.4826,0.088,0.598,2,15.2,,,,,notion-file:02c7d0dd;notion:39d01c44dafb80cda803fa54f32456b5,"씨에스엔아이는 리셀러, 제조사 모니터랩. 공개 스펙: 2U 438x598x88mm 15.2kg",dims_from_aiwaf2000_y20_public_spec
dell-xr2,real_equipment_oic_tb,include,server,Dell,PowerEdge XR2,,0.482,0.0428,0.611,1,13.0,,,,,notion-file:fa15e47e;notion:39d01c44dafb80d8a68ffd103c4e7fdc,,unit_typo_cmd_fixed;body_width_pending_field_measure
arista-7280sr3-48yc8,real_equipment_oic_tb,include,network_switch,Arista,7280SR3-48YC8,0.4399,0.4826,0.0435,0.467,1,9.18,,,,,notion-file:43c3ce6b;notion:39d01c44dafb80e19183e1fe04034657,,
