label,naming_pct,model,compile_status,record_id,compile_attempts,cond,width_err_mm,height_err_mm,depth_err_mm,joints,rep,qc_warnings,device,turns,joints_defaulted,cost_usd
ab-A-nexus-r1-sol,2.0,sol,success,rec_a-cisco-nexus-93180yc-ex-1u-rackmount-data-cente_20260720_012507_936352_4201257c,3,A,43.6,0.2,2.7,0,r1,0,nexus,10,0,0.838
ab-B-nexus-r1-sol,72.8,sol,success,rec_a-cisco-nexus-93180yc-ex-1u-rackmount-data-cente_20260720_012502_121255_3ee63e78,2,B,43.6,0.5,0.0,2,r1,0,nexus,10,0,0.881
ab-A-nexus-r1-opus,74.0,opus,success,rec_a-cisco-nexus-93180yc-ex-1u-rackmount-data-cente_20260720_012507_936335_4201257c,1,A,31.0,1.0,1.1,4,r1,1,nexus,7,0,3.057
ab-B-nexus-r1-opus,91.5,opus,success,rec_a-cisco-nexus-93180yc-ex-1u-rackmount-data-cente_20260720_012937_998957_3ee63e78,5,B,43.6,0.1,14.0,7,r1,1,nexus,16,0,8.47
ab-A-arista-r1-sol,3.1,sol,success,rec_an-arista-7010t-48-1u-rackmount-access-switch-sh_20260720_024810_833311_54474878,1,A,0.0,0.0,0.0,0,r1,0,arista,4,0,0.362
ab-B-arista-r1-sol,68.1,sol,success,rec_an-arista-7010t-48-1u-rackmount-access-switch-sh_20260720_024810_833178_ffc600a2,1,B,37.6,0.5,0.0,2,r1,0,arista,4,0,0.696
ab-A-arista-r1-opus,88.4,opus,success,rec_an-arista-7010t-48-1u-rackmount-access-switch-sh_20260720_024810_833260_54474878,2,A,32.0,0.5,8.5,0,r1,0,arista,8,0,2.376
ab-A-r760-r1-sol,48.6,sol,success,rec_a-dell-poweredge-r760-2u-rackmount-server-with-i_20260720_013511_207061_b7c71940,1,A,0.0,0.0,0.0,1,r1,0,r760,5,0,0.713
ab-B-r760-r1-sol,55.6,sol,success,rec_a-dell-poweredge-r760-2u-rackmount-server-with-i_20260720_013721_802675_94f463f0,2,B,0.6,2.1,0.0,4,r1,0,r760,8,0,1.056
ab-A-r760-r1-opus,74.0,opus,success,rec_a-dell-poweredge-r760-2u-rackmount-server-with-i_20260720_025148_622843_b7c71940,3,A,0.5,3.0,26.0,2,r1,0,r760,15,0,7.629
ab-A-dl360-r1-sol,47.0,sol,success,rec_an-hpe-proliant-dl360-gen10-1u-rackmount-server-_20260720_030225_674435_a60915b2,1,A,40.0,0.0,10.0,19,r1,0,dl360,4,0,0.821
ab-B-dl360-r1-sol,40.9,sol,success,rec_an-hpe-proliant-dl360-gen10-1u-rackmount-server-_20260720_030241_765918_083e385e,2,B,48.0,1.6,1.6,22,r1,0,dl360,8,0,1.035
ab-A-dl360-r1-opus,20.0,opus,success,rec_an-hpe-proliant-dl360-gen10-1u-rackmount-server-_20260720_014825_750580_a60915b2,3,A,0.0,0.0,32.0,21,r1,0,dl360,40,0,7.147
ab-B-dl360-r1-opus,58.1,opus,success,rec_an-hpe-proliant-dl360-gen10-1u-rackmount-server-_20260720_015126_911397_083e385e,2,B,48.0,1.6,5.8,18,r1,0,dl360,17,0,8.17
ab-A-nexus-r2-sol,29.7,sol,success,rec_a-cisco-nexus-93180yc-ex-1u-rackmount-data-cente_20260720_015709_661284_4201257c,2,A,44.0,0.2,2.3,0,r2,0,nexus,6,0,0.616
ab-B-nexus-r2-sol,97.3,sol,success,rec_a-cisco-nexus-93180yc-ex-1u-rackmount-data-cente_20260720_015904_478204_3ee63e78,1,B,43.6,0.5,0.0,2,r2,0,nexus,5,0,0.825
ab-A-nexus-r2-opus,9.2,opus,success,rec_a-cisco-nexus-93180yc-ex-1u-rackmount-data-cente_20260720_020036_298613_4201257c,1,A,44.0,0.5,1.0,0,r2,0,nexus,7,0,2.679
ab-B-nexus-r2-opus,94.0,opus,success,rec_a-cisco-nexus-93180yc-ex-1u-rackmount-data-cente_20260720_020205_658177_3ee63e78,2,B,43.6,1.1,15.7,8,r2,0,nexus,12,0,5.04
ab-A-arista-r2-sol,2.3,sol,success,rec_an-arista-7010t-48-1u-rackmount-access-switch-sh_20260720_020327_263679_54474878,2,A,0.0,0.0,0.5,0,r2,0,arista,7,0,0.631
ab-B-arista-r2-sol,63.7,sol,success,rec_an-arista-7010t-48-1u-rackmount-access-switch-sh_20260720_020635_922151_ffc600a2,1,B,37.6,0.5,0.0,2,r2,0,arista,6,0,0.874
ab-A-arista-r2-opus,45.5,opus,success,rec_an-arista-7010t-48-1u-rackmount-access-switch-sh_20260720_020902_465218_54474878,1,A,0.9,0.0,0.9,0,r2,0,arista,8,0,3.707
ab-A-r760-r2-sol,65.8,sol,success,rec_a-dell-poweredge-r760-2u-rackmount-server-with-i_20260720_021051_356442_b7c71940,2,A,0.0,0.0,0.3,2,r2,0,r760,10,0,1.009
ab-B-r760-r2-sol,75.0,sol,success,rec_a-dell-poweredge-r760-2u-rackmount-server-with-i_20260720_021518_267606_94f463f0,2,B,0.6,2.1,0.0,4,r2,0,r760,7,0,0.908
ab-A-r760-r2-opus,27.4,opus,success,rec_a-dell-poweredge-r760-2u-rackmount-server-with-i_20260720_021843_826236_b7c71940,3,A,0.0,3.0,36.8,26,r2,0,r760,14,0,6.246
ab-A-dl360-r2-sol,25.0,sol,success,rec_an-hpe-proliant-dl360-gen10-1u-rackmount-server-_20260720_022053_856340_a60915b2,3,A,0.0,0.0,0.0,19,r2,0,dl360,26,0,1.646
ab-B-dl360-r2-sol,25.3,sol,success,rec_an-hpe-proliant-dl360-gen10-1u-rackmount-server-_20260720_022735_333039_083e385e,4,B,48.0,1.6,0.0,20,r2,0,dl360,18,0,1.421
ab-A-dl360-r2-opus,20.3,opus,success,rec_an-hpe-proliant-dl360-gen10-1u-rackmount-server-_20260720_022800_623194_a60915b2,1,A,0.0,1.5,13.0,17,r2,0,dl360,6,0,2.701
